,Name,Value (€)
514,Yunus Konak,3500000.0
515,Mathias Jensen,28000000.0
516,Josh Dasilva,10000000.0
517,Yegor Yarmolyuk,10000000.0
518,Frank Onyeka,9000000.0
519,Shandon Baptiste,2500000.0
520,Paris Maghoma,350000.0
521,Ethan Brierley,300000.0
522,Ryan Trevitt,275000.0
523,Keane Lewis-Potter,15000000.0
524,Mikkel Damsgaard,10000000.0
525,Saman Ghoddos,2000000.0
526,Myles Peart-Harris,700000.0
527,Kevin Schade,22000000.0
528,Bryan Mbeumo,40000000.0
529,Michael Olakigbe,600000.0
530,Ivan Toney,50000000.0
531,Yoane Wissa,28000000.0
532,Neal Maupay,12000000.0
533,Jordan Pickford,22000000.0
534,João Virgínia,800000.0
535,Andy Lonergan,100000.0
536,Jarrad Branthwaite,42000000.0
537,James Tarkowski,13000000.0
538,Ben Godfrey,10000000.0
539,Michael Keane,6000000.0
540,Mason Holgate,5000000.0
541,Vitaliy Mykolenko,28000000.0
542,Mackenzie Hunt,200000.0
543,Nathan Patterson,15000000.0
544,Ashley Young,500000.0
545,Séamus Coleman,500000.0
546,Amadou Onana,50000000.0
547,James Garner,22000000.0
548,Idrissa Gueye,3000000.0
549,André Gomes,10000000.0
550,Lewis Warrington,500000.0
551,Tyler Onyango,500000.0
552,Jenson Metcalfe,150000.0
553,Abdoulaye Doucouré,10000000.0
554,Dele Alli,5000000.0
555,Alex Iwobi,25000000.0
556,Dwight McNeil,22000000.0
557,Jack Harrison,18000000.0
558,Arnaut Danjuma,13000000.0
559,Lewis Dobbin,2500000.0
560,Dominic Calvert-Lewin,22000000.0
561,Beto,20000000.0
562,Youssef Chermiti,9000000.0
563,Tom Cannon,4000000.0
564,Bernd Leno,13000000.0
565,Marek Rodák,3000000.0
566,Steven Benda,1000000.0
567,Tosin Adarabioyo,20000000.0
568,Issa Diop,20000000.0
569,Calvin Bassey,16000000.0
570,Tim Ream,800000.0
571,Luc De Fougerolles,300000.0
572,Antonee Robinson,25000000.0
573,Fodé Ballo-Touré,3000000.0
574,Timothy Castagne,17000000.0
575,Kenny Tete,15000000.0
576,Kevin Mbabu,4000000.0
577,Devan Tanton,250000.0
578,João Palhinha,55000000.0
579,Harrison Reed,15000000.0
580,Saša Lukić,10000000.0
581,Tom Cairney,2000000.0
582,Tyrese Francois,600000.0
583,Matt Dibley-Dias,500000.0
584,Andreas Pereira,20000000.0
585,Bobby De Cordova-Reid,5000000.0
586,Luke Harris,1000000.0
587,Kristian Sekularac,200000.0
588,Josh King,200000.0
589,Willian,3000000.0
590,Harry Wilson,17000000.0
591,Adama Traoré,9000000.0
592,Aleksandar Mitrović,28000000.0
593,Rodrigo Muniz,20000000.0
594,Raúl Jiménez,5000000.0
595,Carlos Vinícius,4000000.0
596,Jay Stansfield,3500000.0
597,Alphonse Areola,10000000.0
