,Name,Value (€)
596,Julián Alvarez,100000000.0
597,Alexander Sørloth,20000000.0
598,Unai Simón,25000000.0
599,Álex Padilla,3000000.0
600,Dani Vivian,30000000.0
601,Aitor Paredes,18000000.0
602,Aymeric Laporte,9000000.0
603,Yeray Álvarez,1000000.0
604,Unai Egiluz,600000.0
605,Adama Boiro,3000000.0
606,Yuri Berchiche,1200000.0
607,Jesús Areso,10000000.0
608,Andoni Gorosabel,4000000.0
609,Iñigo Lekue,1200000.0
610,Mikel Vesga,1500000.0
611,Mikel Jauregizar,30000000.0
612,Beñat Prados,18000000.0
613,Alejandro Rego,3000000.0
614,Selton Sánchez,3000000.0
615,Iñigo Ruiz de Galarreta,2500000.0
616,Oihan Sancet,40000000.0
617,Unai Gómez,5000000.0
618,Nico Williams,60000000.0
619,Álex Berenguer,5000000.0
620,Nico Serrano,1500000.0
621,Iñaki Williams,10000000.0
622,Robert Navarro,6000000.0
623,Gorka Guruzeta,5000000.0
624,Maroan Sannadi,5000000.0
625,Urko Izeta,1500000.0
626,Asier Hierro,1000000.0
627,Luiz Júnior,12000000.0
628,Diego Conde,4000000.0
629,Arnau Tenas,4000000.0
630,Renato Veiga,25000000.0
631,Logan Costa,18000000.0
632,Juan Foyth,15000000.0
633,Rafa Marín,12000000.0
634,Willy Kambwala,4000000.0
635,Sergi Cardona,10000000.0
636,Alfonso Pedraza,2500000.0
637,Santiago Mouriño,10000000.0
638,Pau Navarro,5000000.0
639,Alex Freeman,3500000.0
640,Thomas Partey,5000000.0
641,Pape Gueye,20000000.0
642,Santi Comesaña,8000000.0
643,Dani Parejo,1200000.0
644,Carlos Macià,1000000.0
645,Alberto Moleiro,30000000.0
646,Alfon González,4000000.0
647,Hugo López,200000.0
648,Tajon Buchanan,10000000.0
649,Nicolas Pépé,6000000.0
650,Georges Mikautadze,28000000.0
651,Tani Oluwaseyi,8000000.0
652,Ayoze Pérez,6000000.0
653,Gerard Moreno,2800000.0
654,Pau Cabanes,800000.0
655,Álex Remiro,14000000.0
656,Unai Marrero,600000.0
657,Jon Martín,10000000.0
658,Igor Zubeldia,9000000.0
659,Duje Caleta-Car,3000000.0
660,Aritz Elustondo,1800000.0
661,Sergio Gómez,15000000.0
662,Aihen Muñoz,3500000.0
663,Jon Aramburu,15000000.0
664,Álvaro Odriozola,800000.0
665,Jon Gorrotxategi,15000000.0
666,Luka Sucic,10000000.0
667,Yangel Herrera,9000000.0
668,Beñat Turrientes,8000000.0
669,Carlos Soler,8000000.0
670,Brais Méndez,12000000.0
671,Pablo Marín,8000000.0
672,Arsen Zakharyan,7500000.0
673,Ander Barrenetxea,20000000.0
674,Gonçalo Guedes,6000000.0
675,Wesley,35000000.0
676,Takefusa Kubo,30000000.0
677,Mikel Oyarzabal,25000000.0
678,Orri Óskarsson,12000000.0
679,Jon Karrikaburu,2000000.0
680,Álvaro Valles,2500000.0
681,Pau López,2500000.0
682,Adrián,400000.0
683,Natan,20000000.0
684,Valentín Gómez,12000000.0
685,Diego Llorente,3000000.0
686,Marc Bartra,1000000.0
687,Junior Firpo,6000000.0
688,Ricardo Rodríguez,1500000.0
689,Ángel Ortiz,4000000.0
690,Héctor Bellerín,2500000.0
691,Sofyan Amrabat,12000000.0
692,Marc Roca,4000000.0
693,Sergi Altimira,20000000.0
694,Nelson Deossa,9000000.0
695,Álvaro Fidalgo,8500000.0
696,Pablo Fornals,8000000.0
697,Giovani Lo Celso,15000000.0
698,Isco,4000000.0
699,Abde Ezzalzouli,20000000.0
700,Rodrigo Riquelme,8000000.0
701,Antony,30000000.0
702,Pablo García,10000000.0
703,Aitor Ruibal,3500000.0
704,Cucho Hernández,18000000.0
705,Chimy Ávila,1500000.0
706,Cédric Bakambu,1400000.0
707,Julen Agirrezabala,15000000.0
708,Stole Dimitrievski,2000000.0
709,Cristian Rivero,100000.0
710,César Tárrega,15000000.0
711,José Copete,4000000.0
712,Unai Núñez,3500000.0
713,Mouctar Diakhaby,2800000.0
714,Eray Cömert,2000000.0
715,José Gayà,5000000.0
716,Jesús Vázquez,3000000.0
717,Thierry Correia,3000000.0
718,Renzo Saravia,1500000.0
719,Dimitri Foulquier,1200000.0
720,Pepelu,9000000.0
721,Guido Rodríguez,6000000.0
722,Baptiste Santamaria,4500000.0
723,Javi Guerra,25000000.0
724,Filip Ugrinic,6000000.0
725,André Almeida,9000000.0
726,Largie Ramazani,6000000.0
727,Arnaut Danjuma,4000000.0
728,Luis Rioja,2000000.0
729,Diego López,15000000.0
730,Dani Raba,2400000.0
731,Hugo Duro,12000000.0
732,Lucas Beltrán,8000000.0
733,Umar Sadiq,4000000.0
734,Marc-André ter Stegen,7000000.0
735,Paulo Gazzaniga,2000000.0
736,Rubén Blanco,800000.0
737,Vladyslav Krapyvtsov,400000.0
738,Juan Carlos,100000.0
739,Vitor Reis,30000000.0
740,Alejandro Francés,3000000.0
741,Daley Blind,1400000.0
742,David López,600000.0
743,Álex Moreno,3500000.0
744,Arnau Martínez,10000000.0
745,Hugo Rincón,2500000.0
746,Axel Witsel,1400000.0
747,Azzedine Ounahi,10000000.0
748,Fran Beltrán,5000000.0
749,Donny van de Beek,2000000.0
750,Lass Kourouma,500000.0
751,Claudio Echeverri,15000000.0
752,Iván Martín,6000000.0
753,Thomas Lemar,2000000.0
754,Bryan Gil,12000000.0
755,Joel Roca,5000000.0
756,Viktor Tsygankov,15000000.0
757,Portu,1500000.0
758,Vladyslav Vanat,15000000.0
759,Abel Ruiz,3000000.0
760,Cristhian Stuani,900000.0
761,Ionuț Radu,5000000.0
762,Iván Villar,900000.0
763,Marc Vidal,300000.0
764,Javi Rodríguez,15000000.0
765,Carl Starfelt,5000000.0
766,Carlos Domínguez,3000000.0
767,Yoel Lago,2500000.0
768,Manu Fernández,1500000.0
769,Marcos Alonso,1400000.0
770,Joseph Aidoo,1000000.0
771,Mihailo Ristic,800000.0
772,Óscar Mingueza,18000000.0
773,Sergio Carreira,6000000.0
774,Álvaro Núñez,6000000.0
775,Javi Rueda,3000000.0
776,Ilaix Moriba,10000000.0
777,Hugo Sotelo,9000000.0
778,Miguel Román,2500000.0
779,Matías Vecino,1500000.0
780,Fer López,16000000.0
781,Williot Swedberg,10000000.0
782,Hugo Álvarez,8000000.0
783,Franco Cervi,700000.0
784,Jones El-Abdellaoui,4000000.0
785,Ferran Jutglà,7000000.0
786,Pablo Durán,4000000.0
787,Borja Iglesias,3000000.0
788,Iago Aspas,1800000.0
789,Odysseas Vlachodimos,4000000.0
790,Ørjan Nyland,900000.0
791,Kike Salas,6000000.0
792,Fábio Cardoso,2500000.0
793,Marcão,2500000.0
794,Andrés Castrín,1500000.0
795,Tanguy Nianzou,1400000.0
796,César Azpilicueta,1200000.0
797,Federico Gattoni,1000000.0
798,Gabriel Suazo,7000000.0
799,Oso,2000000.0
800,Juanlu Sánchez,15000000.0
801,José Ángel Carmona,12000000.0
802,Lucien Agoumé,12000000.0
803,Batista Mendy,10000000.0
804,Nemanja Gudelj,2500000.0
805,Djibril Sow,7500000.0
806,Joan Jordán,2000000.0
807,Manu Bueno,1500000.0
808,Rubén Vargas,12000000.0
809,Chidera Ejuke,4000000.0
810,Adnan Januzaj,1200000.0
811,Miguel Ángel Sierra,250000.0
812,Peque Fernández,3500000.0
813,Akor Adams,7000000.0
814,Isaac Romero,6000000.0
815,Neal Maupay,4000000.0
816,Alexis Sánchez,1400000.0
817,Marko Dmitrovic,800000.0
818,Ángel Fortuño,300000.0
819,Clemens Riedel,5000000.0
820,Fernando Calero,2000000.0
821,Miguel Rubio,2000000.0
822,Leandro Cabrera,1000000.0
823,Carlos Romero,15000000.0
824,José Salinas,2800000.0
825,Omar El Hilali,15000000.0
826,Rubén Sánchez,1500000.0
827,Urko González de Zárate,5000000.0
828,Charles Pickel,2500000.0
