,Name,Value (€)
575,Jay Matete,400000.0
576,Abdoullah Ba,2500000.0
577,Chris Rigg,20000000.0
578,Adil Aouchiche,1500000.0
579,Milan Aleksic,700000.0
580,Harrison Jones,150000.0
581,Jack Clarke,15000000.0
582,Tom Watson,8000000.0
583,Romaine Mundle,6000000.0
584,Jewison Bennette,600000.0
585,Patrick Roberts,5000000.0
586,Ian Poveda,900000.0
587,Eliezer Mayenda,12000000.0
588,Wilson Isidor,12000000.0
589,Aaron Connolly,2200000.0
590,Nazariy Rusyn,1000000.0
591,Ahmed Abdullahi,1000000.0
592,Luís Semedo,500000.0
593,Illan Meslier,16000000.0
594,Karl Darlow,200000.0
595,Alex Cairns,100000.0
596,Pascal Struijk,18000000.0
597,Joe Rodon,10000000.0
598,Maximilian Wöber,8000000.0
599,Junior Firpo,8000000.0
600,Isaac Schmidt,2200000.0
601,Sam Byram,800000.0
602,Jayden Bogle,9000000.0
603,Ethan Ampadu,20000000.0
604,Ilia Gruev,5000000.0
605,Josuha Guilavogui,300000.0
606,Charlie Crew,150000.0
607,Ao Tanaka,10000000.0
608,Darko Gyabi,1800000.0
609,Joe Rothwell,1800000.0
610,Brenden Aaronson,15000000.0
611,Sam Chambers,200000.0
612,Manor Solomon,14000000.0
613,Largie Ramazani,7500000.0
614,Wilfried Gnonto,22000000.0
615,Daniel James,18000000.0
616,Joël Piroe,18000000.0
617,Mateo Joseph,3500000.0
618,Joe Gelhardt,3000000.0
619,Patrick Bamford,2000000.0
620,Harry Gray,500000.0
621,José Sá,7000000.0
622,Daniel Bentley,1500000.0
623,Tom King,200000.0
624,Toti,28000000.0
625,Emmanuel Agbadou,20000000.0
626,Santiago Bueno,10000000.0
627,Nasser Djiga,10000000.0
628,Yerson Mosquera,8000000.0
629,Bastien Meupiyou,2500000.0
630,Craig Dawson,1500000.0
631,Alfie Pond,250000.0
632,Nélson Semedo,9000000.0
633,Pedro Lima,5000000.0
634,Matt Doherty,2000000.0
635,André,28000000.0
636,Mario Lemina,7500000.0
637,Boubacar Traoré,5000000.0
638,Joe Hodge,1000000.0
639,João Gomes,40000000.0
640,Jean-Ricner Bellegarde,18000000.0
641,Marshall Munetsi,15000000.0
642,Tommy Doyle,10000000.0
643,Luke Cundle,3200000.0
644,Rodrigo Gomes,15000000.0
645,Pablo Sarabia,5000000.0
646,Chem Campbell,900000.0
647,Tawanda Chirewa,500000.0
648,Mateus Mané,200000.0
649,Gonçalo Guedes,11000000.0
650,Carlos Forbs,8000000.0
651,Daniel Podence,5500000.0
652,Enso González,4000000.0
653,Chiquinho,2000000.0
654,Matheus Cunha,60000000.0
655,Jørgen Strand Larsen,30000000.0
656,Hee-chan Hwang,12000000.0
657,Sasa Kalajdzic,4000000.0
658,Leon Chiwome,700000.0
659,Nathan Fraser,600000.0
660,James Trafford,22000000.0
661,Etienne Green,700000.0
662,Václav Hladký,300000.0
663,Maxime Estève,20000000.0
664,CJ Egan-Riley,16000000.0
665,Dara O'Shea,14000000.0
666,Bashir Humphreys,7000000.0
667,Jordan Beyer,6000000.0
668,Joe Worrall,5000000.0
669,Hjalmar Ekdal,4500000.0
670,Hannes Delcroix,3500000.0
671,Luke McNally,3500000.0
672,John Egan,1300000.0
673,Lucas Pires,5000000.0
674,Owen Dodgson,300000.0
675,Vitinho,6000000.0
676,Connor Roberts,4500000.0
677,Oliver Sonne,2700000.0
678,Shurandy Sambo,2000000.0
679,Josh Brownhill,14000000.0
680,Josh Cullen,6500000.0
681,Han-Noah Massengo,5000000.0
682,Josh Laurent,1800000.0
683,Jonjo Shelvey,800000.0
684,Hannibal,12000000.0
685,Aaron Ramsey,10000000.0
686,Mike Tresor,5000000.0
687,Scott Twine,4500000.0
688,Tommy McDermott,100000.0
689,Anass Zaroury,8000000.0
690,Jaydon Banel,1000000.0
691,Dara Costelloe,450000.0
692,Marcus Edwards,12000000.0
693,Luca Koleosho,12000000.0
694,Manuel Benson,3500000.0
695,Nathan Redmond,1500000.0
696,Jóhann Berg Gudmundsson,600000.0
697,Enock Agyei,600000.0
698,Zeki Amdouni,12000000.0
699,Zian Flemming,6500000.0
700,Lyle Foster,6000000.0
701,Wout Weghorst,4000000.0
702,Andréas Hountondji,2500000.0
703,Michael Obafemi,1700000.0
704,Jay Rodríguez,500000.0
705,Ashley Barnes,250000.0
706,Joe Westley,75000.0
707,Thibaut Courtois,20000000.0
708,Andriy Lunin,18000000.0
709,Fran González,400000.0
710,Sergio Mestre,50000.0
711,Raúl Asencio,40000000.0
712,Éder Militão,30000000.0
713,Antonio Rüdiger,20000000.0
714,David Alaba,6000000.0
715,Jacobo Ramón,1000000.0
716,Diego Aguado,1000000.0
717,Jesús Vallejo,1000000.0
718,Víctor Valdepeñas,500000.0
719,Mario Rivas,300000.0
720,Fran García,18000000.0
721,Ferland Mendy,14000000.0
722,Youssef Enríquez,500000.0
723,Daniel Carvajal,8000000.0
724,Lucas Vázquez,3000000.0
725,David Jiménez,400000.0
726,Jesús Fortea,200000.0
727,Lorenzo Aguado,100000.0
728,Aurélien Tchouaméni,75000000.0
729,Mario Martín,1500000.0
730,Chema Andrés,800000.0
731,Federico Valverde,130000000.0
732,Eduardo Camavinga,60000000.0
733,Dani Ceballos,10000000.0
734,Luka Modrić,4000000.0
735,Jude Bellingham,180000000.0
736,Arda Güler,45000000.0
737,Pol Fortuny,400000.0
738,Vinicius Junior,170000000.0
739,Víctor Muñoz,1000000.0
740,Hugo de Llanos,200000.0
741,Rodrygo,90000000.0
742,Brahim Díaz,40000000.0
743,Daniel Yáñez,150000.0
744,Kylian Mbappé,180000000.0
745,Endrick,35000000.0
746,Gonzalo García,8000000.0
747,Marc-André ter Stegen,12000000.0
748,Iñaki Peña,8000000.0
749,Wojciech Szczęsny,1000000.0
750,Ander Astralaga,800000.0
751,Diego Kochen,500000.0
752,Áron Yaakobishvili,300000.0
753,Pau Cubarsí,80000000.0
754,Ronald Araujo,35000000.0
755,Eric García,18000000.0
756,Andreas Christensen,12000000.0
757,Iñigo Martínez,5000000.0
758,Sergi Domínguez,1000000.0
759,Alexis Olmedo,200000.0
760,Andrés Cuenca,200000.0
761,Álvaro Cortés,150000.0
762,Alejandro Balde,60000000.0
763,Gerard Martín,12000000.0
764,Álex Valle,6000000.0
765,Jules Koundé,65000000.0
766,Héctor Fort,10000000.0
767,Landry Farré,300000.0
768,Marc Casadó,30000000.0
769,Marc Bernal,5000000.0
770,Pedri,140000000.0
771,Gavi,60000000.0
772,Frenkie de Jong,45000000.0
773,Guille Fernández,3000000.0
774,Dani Olmo,60000000.0
775,Fermín López,50000000.0
776,Pablo Torre,6000000.0
777,Raphinha,90000000.0
778,Ansu Fati,5000000.0
779,Lamine Yamal,200000000.0
780,Toni Fernández,3000000.0
781,Noah Darvich,2000000.0
782,Dani Rodríguez,800000.0
783,Ferran Torres,40000000.0
784,Robert Lewandowski,12000000.0
785,Pau Víctor,4000000.0
786,Jan Oblak,20000000.0
787,Juan Musso,3500000.0
788,Horațiu Moldovan,2200000.0
789,Alejandro Iturbe,2000000.0
790,Antonio Gomis,150000.0
791,Robin Le Normand,40000000.0
792,José María Giménez,20000000.0
793,Clément Lenglet,7500000.0
794,César Azpilicueta,1500000.0
795,Ilias Kostis,500000.0
796,Gerónimo Spina,200000.0
797,Reinildo Mandava,5000000.0
798,Javi Galán,4000000.0
799,Marcos Llorente,25000000.0
800,Nahuel Molina,20000000.0
801,Santiago Mouriño,3000000.0
802,Carlos Giménez,250000.0
803,Arthur Vermeeren,22000000.0
804,Axel Witsel,2000000.0
805,Pablo Barrios,55000000.0
806,Conor Gallagher,40000000.0
807,Rodrigo De Paul,25000000.0
808,Koke,8000000.0
809,Javi Serrano,700000.0
810,Aitor Gismera,250000.0
811,Thomas Lemar,5000000.0
812,Rayane Belaid,600000.0
813,Samuel Lino,22000000.0
814,Rodrigo Riquelme,12000000.0
815,Carlos Martín,2800000.0
816,Germán Valera,1500000.0
817,Marcos Paulo,450000.0
818,Giuliano Simeone,35000000.0
819,Víctor Mollejo,300000.0
820,Antoine Griezmann,18000000.0
821,Ángel Correa,10000000.0
822,Julián Alvarez,100000000.0
